IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.230.56.62,443,443,true,IAD,North America,Ashburn,218,7.68
20.151.238.232,443,443,true,YYZ,North America,Toronto,229,7.51
13.90.119.144,2053,443,true,IAD,North America,Ashburn,232,7.35
172.190.150.25,8443,443,true,IAD,North America,Ashburn,246,7.17
20.246.127.166,443,443,true,IAD,North America,Ashburn,220,7.13
20.75.178.96,443,443,true,IAD,North America,Ashburn,234,6.93
20.246.144.214,443,443,true,IAD,North America,Ashburn,256,6.83
20.13.168.204,8080,0,false,DUB,Europe,Dublin,164,5.95
20.151.142.151,8443,443,true,YYZ,North America,Toronto,217,5.26
191.237.205.178,443,0,false,GRU,South America,São Paulo,343,4.20
20.201.48.75,443,0,false,GRU,South America,São Paulo,345,4.18
20.201.9.186,443,0,false,GRU,South America,São Paulo,342,3.99
20.170.41.153,443,443,true,FRA,Europe,Frankfurt,157,3.96
20.197.226.118,8443,443,true,GRU,South America,São Paulo,360,3.46
20.197.226.118,2053,443,true,GRU,South America,São Paulo,357,3.39
191.237.202.255,443,0,false,GRU,South America,São Paulo,342,3.03
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,173,2.74
51.107.211.177,2087,80,false,CPH,Europe,Copenhagen,174,2.74
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,175,2.74
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,173,2.72
51.107.211.178,2087,80,false,CPH,Europe,Copenhagen,174,2.72
51.107.211.178,2052,80,false,CPH,Europe,Copenhagen,174,2.70
51.107.211.178,2086,80,false,CPH,Europe,Copenhagen,173,2.69
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,174,2.69
51.107.211.177,2082,80,false,CPH,Europe,Copenhagen,174,2.68
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,174,2.67
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,173,2.67
51.107.211.177,2086,80,false,CPH,Europe,Copenhagen,174,2.65
51.107.211.177,2053,80,false,CPH,Europe,Copenhagen,173,2.49
51.107.211.177,2083,80,false,CPH,Europe,Copenhagen,173,2.47
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,174,2.46
51.107.211.177,2095,80,false,CPH,Europe,Copenhagen,174,2.42
