IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.52.115,2083,2083,TRUE,Hong Kong,Asia Pacific,Hong Kong,68,12.61
8.218.143.10,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,71,12.58
8.218.2.181,2083,2083,TRUE,Hong Kong,Asia Pacific,Hong Kong,67,12.46
8.218.2.181,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,59,12.39
8.210.55.134,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,39,12.34
8.210.151.69,2053,2053,TRUE,Hong Kong,Asia Pacific,Hong Kong,63,12.33
47.74.34.140,2083,2083,TRUE,Hong Kong,Asia Pacific,Hong Kong,230,12.28
8.218.52.115,2053,2053,TRUE,Hong Kong,Asia Pacific,Hong Kong,100,12.25
8.218.174.118,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,52,12.17
8.217.239.116,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,67,12.16
8.218.2.181,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,69,12.13
8.210.101.157,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,91,12.03
8.218.105.223,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,49,12.01
47.242.54.157,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,42,11.98
8.218.52.115,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,57,11.96
8.218.143.10,2083,2083,TRUE,Hong Kong,Asia Pacific,Hong Kong,55,11.95
47.76.80.72,2096,2096,TRUE,Hong Kong,Asia Pacific,Hong Kong,59,11.92
47.243.162.49,2053,2053,TRUE,Hong Kong,Asia Pacific,Hong Kong,51,11.90
8.210.156.6,443,443,TRUE,Hong Kong,Asia Pacific,Hong Kong,47,11.88
8.218.52.115,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,59,11.83
47.243.107.148,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,39,11.76
8.218.110.180,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,82,11.65
47.245.40.55,2053,2053,TRUE,Hong Kong,Asia Pacific,Hong Kong,177,11.62
47.242.59.216,2096,2096,TRUE,Hong Kong,Asia Pacific,Hong Kong,53,11.52
8.218.2.181,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,84,11.48
8.218.188.129,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,53,11.47
8.218.174.118,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,77,11.36
47.243.107.148,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,51,11.33
47.245.39.49,2083,2083,TRUE,Hong Kong,Asia Pacific,Hong Kong,178,11.33
8.217.239.116,2053,2053,TRUE,Hong Kong,Asia Pacific,Hong Kong,72,11.29
8.218.146.204,443,443,TRUE,Hong Kong,Asia Pacific,Hong Kong,58,11.29
8.218.52.115,2096,2096,TRUE,Hong Kong,Asia Pacific,Hong Kong,72,11.16
8.218.207.169,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,109,11.14
47.242.54.157,2053,2053,TRUE,Hong Kong,Asia Pacific,Hong Kong,73,11.12
8.218.146.204,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,89,11.06
47.74.34.140,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,222,11.03
