IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.149.193,2096,2096,TRUE,Hong Kong,Asia Pacific,Hong Kong,49,10.95
8.218.143.10,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,82,10.95
8.218.149.193,2083,2083,TRUE,Hong Kong,Asia Pacific,Hong Kong,100,10.95
47.243.86.79,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,44,10.91
8.217.164.10,2083,2083,TRUE,Hong Kong,Asia Pacific,Hong Kong,83,10.87
47.242.171.94,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,67,10.82
47.74.35.109,2083,2083,TRUE,Hong Kong,Asia Pacific,Hong Kong,177,10.81
47.254.66.75,443,443,TRUE,San Jose,North America,San Jose,174,10.79
47.74.26.196,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,286,10.72
47.254.66.75,80,443,TRUE,San Jose,North America,San Jose,179,10.69
8.218.158.94,443,443,TRUE,Hong Kong,Asia Pacific,Hong Kong,106,10.62
8.218.211.17,2096,2096,TRUE,Hong Kong,Asia Pacific,Hong Kong,116,10.62
47.251.74.226,443,443,TRUE,Los Angeles,North America,Los Angeles,172,10.55
8.218.119.115,8443,8443,TRUE,Hong Kong,Asia Pacific,Hong Kong,97,10.54
8.218.85.128,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,102,10.53
8.218.156.91,2096,2096,TRUE,Hong Kong,Asia Pacific,Hong Kong,57,10.49
8.217.250.5,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,70,10.40
8.218.174.118,2096,2096,TRUE,Hong Kong,Asia Pacific,Hong Kong,125,10.39
8.218.8.142,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,80,10.34
8.210.21.65,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,40,10.20
47.242.171.94,2053,2053,TRUE,Hong Kong,Asia Pacific,Hong Kong,93,10.18
8.218.22.210,2083,2083,TRUE,Hong Kong,Asia Pacific,Hong Kong,46,10.14
8.217.85.14,2096,2096,TRUE,Hong Kong,Asia Pacific,Hong Kong,84,10.07
47.245.4.22,2087,2087,TRUE,Hong Kong,Asia Pacific,Hong Kong,163,10.02
8.217.248.220,2053,2053,TRUE,Hong Kong,Asia Pacific,Hong Kong,77,10.00
47.245.89.102,2053,2053,TRUE,Singapore,Asia Pacific,Singapore,130,12.63
8.219.198.139,443,443,TRUE,Singapore,Asia Pacific,Singapore,171,12.62
8.219.197.111,2053,2053,TRUE,Singapore,Asia Pacific,Singapore,118,12.62
8.219.163.195,2096,2096,TRUE,Singapore,Asia Pacific,Singapore,135,12.61
8.219.51.49,2096,2096,TRUE,Singapore,Asia Pacific,Singapore,128,12.59
47.236.65.232,2083,2083,TRUE,Singapore,Asia Pacific,Singapore,93,12.59
8.219.77.91,8443,8443,TRUE,Singapore,Asia Pacific,Singapore,86,12.58
8.219.151.193,8443,8443,TRUE,Singapore,Asia Pacific,Singapore,48,12.58
8.219.173.239,2096,2096,TRUE,Singapore,Asia Pacific,Singapore,65,12.58
47.236.169.164,8443,8443,TRUE,Singapore,Asia Pacific,Singapore,59,12.57
20.230.56.62,443,443,TRUE,Ashburn,North America,Ashburn,218,7.68
20.151.238.232,443,443,TRUE,Toronto,North America,Toronto,229,7.51
13.90.119.144,2053,443,TRUE,Ashburn,North America,Ashburn,232,7.35
172.190.150.25,8443,443,TRUE,Ashburn,North America,Ashburn,246,7.17
20.246.127.166,443,443,TRUE,Ashburn,North America,Ashburn,220,7.13
20.75.178.96,443,443,TRUE,Ashburn,North America,Ashburn,234,6.93
20.246.144.214,443,443,TRUE,Ashburn,North America,Ashburn,256,6.83
